Domain,Total Keywords,Top 10 KW Count,Page 1 %,Page 2+ %,Monthly Organic Value,Monthly Organic Clicks,Monthly PPC Budget,Monthly PPC Clicks,Organic Competitors,Paid Competitors,Domain Stats API Cost,Keywords API Cost,Total API Cost,Keyword,Rank,Traffic,CPC
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"coolsculpting winston salem",10,100,$0.00
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"cosmetic surgery in North Carolina",10,0,$0.00
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"lip fillers winston salem",10,0,$0.00
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"botox Winston-Salem",10,0,$7.88
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"emsculpt before and after 4 sessions thighs",10,0,$0.00
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"breast enhancement Hampton",10,0,$0.00
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"restoration medspa winston salem",10,0,$0.00
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"rf breast lift before and after",10,40,$0.00
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"plastic surgery in Salem Oregon",10,0,$0.00
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"plastic surgery winstonsalem",10,0,$0.00
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"brazilian liposuction",10,80,$3.72
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"emsculpt back before and after",10,0,$0.00
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"bbl with thigh lipo",10,0,$0.00
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"bbl stomach before and after",10,76,$0.00
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"flanks lipo",10,44,$0.00
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"smartlipo buttocks",10,3,$3.37
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"smartlipo triplex laser",10,0,$0.00
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"coolsculpting Winston-Salem",10,0,$0.00
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"emsculpt before and after 1 treatment",10,112,$0.00
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"tummy tuck and breast reduction",9,125,$1.59
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"joy plastic surgery",9,165,$0.00
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"plastic surgeons winston-salem",9,0,$0.00
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"coolsculpting Salem",9,0,$0.00
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"lift boobs",9,55,$2.74
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"tummy tuck lipo 360 and bbl",9,17,$0.00
salemplasticsurgery.com,1878,233,12.41%,87.59%,$15950.00,1442,$0.00,0,0,0,$0.0005,$0.1165,$0.1170,"operation plastic",9,1,$0.00
