Domain,Total Analyzed,True Fell Off Count,API Cost,Keyword,Previous Rank,Current Rank,Rank Change,Search Volume,CPC,SEO Clicks,SEO Clicks Change
salemplasticsurgery.com,45,0,$0.0225,"(No keywords truly fell off)",N/A,N/A,0,0,$0.00,0,0
aestheticinstitute.ie,2,0,$0.0010,"(No keywords truly fell off)",N/A,N/A,0,0,$0.00,0,0
coppellwellness.com,0,0,$0.0000,"(No keywords truly fell off)",N/A,N/A,0,0,$0.00,0,0
healthwestchiro.com,0,0,$0.0000,"(No keywords truly fell off)",N/A,N/A,0,0,$0.00,0,0
100percentdoc.com,0,0,$0.0000,"(No keywords truly fell off)",N/A,N/A,0,0,$0.00,0,0
axiominjury.com,1,0,$0.0005,"(No keywords truly fell off)",N/A,N/A,0,0,$0.00,0,0
houstonbackandneck.com,0,0,$0.0000,"(No keywords truly fell off)",N/A,N/A,0,0,$0.00,0,0
alignwc.com,89,0,$0.0445,"(No keywords truly fell off)",N/A,N/A,0,0,$0.00,0,0
infinityspine.com,0,0,$0.0000,"(No keywords truly fell off)",N/A,N/A,0,0,$0.00,0,0
painreliefkc.com,4,0,$0.0020,"(No keywords truly fell off)",N/A,N/A,0,0,$0.00,0,0
